Category,Product Name,Location,Price,Overall Rating,Number Sold,Total Review,Customer Rating,Customer Review,Sentiment,Emotion,Location_grouped,review_text,review_char_len,review_word_len,review_tokens
Computers and Laptops,Cooling Pad Laptop Gaming 6 Fan Kipas Pendingin Laptop Kipas Cooler Q3,Kota Bandung,127880,4.9,1257,700,5,"Packing aman, pengiriman cepat dan barang berfungsi dengan baik",Positive,Happy,Kota Bandung,"Packing aman, pengiriman cepat dan barang berfungsi dengan baik",63,9,"['packing', 'aman', 'pengiriman', 'cepat', 'barang', 'berfungsi', 'baik']"
Computers and Laptops,"kipas laptop cooling pad Ace cooling ergostand 15,6inch 1 fan",Jakarta Utara,80000,4.8,3982,1890,5,Produknya baik dan kualitasny good banget. produk sampai ke konsumen dalam kondisi baik. sesuai sih sama harga juga so overall very good lah ??,Positive,Happy,Jakarta Utara,Produknya baik dan kualitasny good banget. produk sampai ke konsumen dalam kondisi baik. sesuai sih sama harga juga so overall very good lah ??,143,24,"['produknya', 'baik', 'kualitasny', 'good', 'produk', 'konsumen', 'kondisi', 'baik', 'sesuai', 'sama', 'harga', 'so', 'overall', 'very', 'good']"
Computers and Laptops,"kipas laptop cooling pad Ace cooling ergostand 15,6inch 1 fan",Jakarta Utara,80000,4.8,3982,1890,5,barang udah sampai ya gan dan berfungsi. terima kasih,Positive,Happy,Jakarta Utara,barang udah sampai ya gan dan berfungsi. terima kasih,53,9,"['barang', 'gan', 'berfungsi', 'terima', 'kasih']"
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Kota Depok,55000,4.8,13900,6671,5,barang mantap sesuai deskripsi laptop jadi adem n sejuk,Positive,Happy,Kota Depok,barang mantap sesuai deskripsi laptop jadi adem n sejuk,55,9,"['barang', 'mantap', 'sesuai', 'deskripsi', 'laptop', 'adem', 'sejuk']"
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Kota Depok,55000,4.8,13900,6671,5,"produk saya terima dengan kondisi baik, terima kasih ^^",Positive,Happy,Kota Depok,"produk saya terima dengan kondisi baik, terima kasih ^^",55,9,"['produk', 'terima', 'kondisi', 'baik', 'terima', 'kasih']"
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Kota Depok,55000,4.8,13900,6671,5,"belanja kedua kalinya, selalu puas. pengiriman lumayan cepat. overall bagus banget",Positive,Happy,Kota Depok,"belanja kedua kalinya, selalu puas. pengiriman lumayan cepat. overall bagus banget",82,11,"['belanja', 'kedua', 'kalinya', 'selalu', 'puas', 'pengiriman', 'lumayan', 'cepat', 'overall', 'bagus']"
Computers and Laptops,CoolCold Laptop Vacuum Vacum Cooler Cooling Pad Hisap Panas Notebook,Kota Depok,55000,4.8,13900,6671,5,"Kualitas barang bagus, harga relatif murah, kiriman super cepat, response penjual baik, recommended seller, bintang 5, terima kasih yah, semoga SUKSES usaha-nya, aamiin ??????.",Positive,Happy,Kota Depok,"Kualitas barang bagus, harga relatif murah, kiriman super cepat, response penjual baik, recommended seller, bintang 5, terima kasih yah, semoga SUKSES usaha-nya, aamiin ??????.",176,24,"['kualitas', 'barang', 'bagus', 'harga', 'relatif', 'murah', 'kiriman', 'super', 'cepat', 'response', 'penjual', 'baik', 'recommended', 'seller', 'bintang', 'terima', 'kasih', 'semoga', 'sukses', 'usaha', 'aamiin']"
Computers and Laptops,Cooling Pad Gaming Ergostand Kipas Pendingin Laptop Big Fan Cooler Pad - KIPAS ERGOSTAND,Jakarta Barat,74900,4.7,3713,2153,5,mantab barang nya oke punya,Positive,Happy,Jakarta Barat,mantab barang nya oke punya,27,5,"['mantab', 'barang', 'oke', 'punya']"
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Jakarta Barat,112000,4.9,5988,2969,5,"pengiriman cepat, packing rapi, kualitas mantap",Positive,Happy,Jakarta Barat,"pengiriman cepat, packing rapi, kualitas mantap",47,6,"['pengiriman', 'cepat', 'packing', 'rapi', 'kualitas', 'mantap']"
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Jakarta Barat,112000,4.9,5988,2969,5,silent dan bagus untuk pekerjaan ringan,Positive,Happy,Jakarta Barat,silent dan bagus untuk pekerjaan ringan,39,6,"['silent', 'bagus', 'pekerjaan', 'ringan']"
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Jakarta Barat,112000,4.9,5988,2969,5,Barang cepat sampai. Kualitas bagus dan pengiriman aman tidak ada yang pecah. Manstapu ??????,Positive,Happy,Jakarta Barat,Barang cepat sampai. Kualitas bagus dan pengiriman aman tidak ada yang pecah. Manstapu ??????,93,14,"['barang', 'cepat', 'kualitas', 'bagus', 'pengiriman', 'aman', 'pecah', 'manstapu']"
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Jakarta Barat,112000,4.9,5988,2969,5,"Bagus, berkualitas, sesuai gbr. Makasih Seller, Tokped dan Kurir",Positive,Happy,Jakarta Barat,"Bagus, berkualitas, sesuai gbr. Makasih Seller, Tokped dan Kurir",64,9,"['bagus', 'berkualitas', 'sesuai', 'gbr', 'makasih', 'seller', 'tokped', 'kurir']"
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5.0,2716,1843,5,"mantap kipasnya kenceng, barangnya berkualitas sesuai sama harga",Positive,Happy,Kota Surabaya,"mantap kipasnya kenceng, barangnya berkualitas sesuai sama harga",64,8,"['mantap', 'kipasnya', 'kenceng', 'barangnya', 'berkualitas', 'sesuai', 'sama', 'harga']"
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5.0,2716,1843,5,mantap proses pengerjaan dan pengiriman juga barang sesuai dengan deskripsi,Positive,Happy,Kota Surabaya,mantap proses pengerjaan dan pengiriman juga barang sesuai dengan deskripsi,75,10,"['mantap', 'proses', 'pengerjaan', 'pengiriman', 'barang', 'sesuai', 'deskripsi']"
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5.0,2716,1843,5,"mantap kipasnya kenceng, barangnya berkualitas sesuai sama harga",Positive,Happy,Kota Surabaya,"mantap kipasnya kenceng, barangnya berkualitas sesuai sama harga",64,8,"['mantap', 'kipasnya', 'kenceng', 'barangnya', 'berkualitas', 'sesuai', 'sama', 'harga']"
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5.0,2716,1843,5,Penjualnya Ramah Melayani Pembeli Dengan Sabar dan Memberikan Berbagai Saran Yang Pembeli Tidak Tahu ... Mantap Lah ??????,Positive,Happy,Kota Surabaya,Penjualnya Ramah Melayani Pembeli Dengan Sabar dan Memberikan Berbagai Saran Yang Pembeli Tidak Tahu ... Mantap Lah ??????,122,18,"['penjualnya', 'ramah', 'melayani', 'pembeli', 'sabar', 'memberikan', 'berbagai', 'saran', 'pembeli', 'tahu', 'mantap']"
Computers and Laptops,"cooling pad laptop tahan 24 jam 6.000 Rpm angin TOPAN - Gambar no 1, Bening",Kota Surabaya,385000,5.0,2716,1843,5,"barang sampai dengan cepat, packingnya rapi dan amat sekali, tidak ada bagian acrylic yang pecah. berfungsi dengan baik. semoga awet.",Positive,Happy,Kota Surabaya,"barang sampai dengan cepat, packingnya rapi dan amat sekali, tidak ada bagian acrylic yang pecah. berfungsi dengan baik. semoga awet.",133,20,"['barang', 'cepat', 'packingnya', 'rapi', 'amat', 'sekali', 'bagian', 'acrylic', 'pecah', 'berfungsi', 'baik', 'semoga', 'awet']"
Computers and Laptops,MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289,Jakarta Utara,15000,4.9,690,338,5,Sangat presisi dan pas,Positive,Happy,Jakarta Utara,Sangat presisi dan pas,22,4,"['sangat', 'presisi']"
Computers and Laptops,MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289,Jakarta Utara,15000,4.9,690,338,5,"Puas banget, seller helpfull, sangat responsif dan cepet banget sampai nya, recomended...",Positive,Happy,Jakarta Utara,"Puas banget, seller helpfull, sangat responsif dan cepet banget sampai nya, recomended...",89,12,"['puas', 'seller', 'helpfull', 'sangat', 'responsif', 'cepet', 'recomended']"
Computers and Laptops,MacBook Skin Keyboard Protector TRANSPARANT BENING - A2141 A2289,Jakarta Utara,15000,4.9,690,338,5,"Mantappp, responnya juga memuaskan. sudah dicoba dan dipasang presisi dan nyaman. CAs Juga responsif",Positive,Happy,Jakarta Utara,"Mantappp, responnya juga memuaskan. sudah dicoba dan dipasang presisi dan nyaman. CAs Juga responsif",100,14,"['mantappp', 'responnya', 'memuaskan', 'dicoba', 'dipasang', 'presisi', 'nyaman', 'cas', 'responsif']"
Computers and Laptops,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",Jakarta Barat,365000,5.0,2554,1396,5,Mantap barangnya cepet sampai dan enak digunainnya!,Positive,Happy,Jakarta Barat,Mantap barangnya cepet sampai dan enak digunainnya!,51,7,"['mantap', 'barangnya', 'cepet', 'enak', 'digunainnya']"
Computers and Laptops,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",Jakarta Barat,365000,5.0,2554,1396,5,"Barang bagus,oke, cepat pengirimannya juga",Positive,Happy,Jakarta Barat,"Barang bagus,oke, cepat pengirimannya juga",42,5,"['barang', 'bagus', 'oke', 'cepat', 'pengirimannya']"
Computers and Laptops,"Logitech Bluetooth Keyboard K380 , K 380 , K-380 - Hitam",Jakarta Barat,365000,5.0,2554,1396,5,"Pengiriman cepat, seller responsif ??",Positive,Happy,Jakarta Barat,"Pengiriman cepat, seller responsif ??",37,5,"['pengiriman', 'cepat', 'seller', 'responsif']"
Computers and Laptops,Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV,Jakarta Utara,53500,4.9,5449,2369,5,Barang berfungsi baik. Pemilik toko sangat responsif dan membantu saat ada sedikit kendala. Sukses tokonya ya gan ??????,Positive,Happy,Jakarta Utara,Barang berfungsi baik. Pemilik toko sangat responsif dan membantu saat ada sedikit kendala. Sukses tokonya ya gan ??????,120,18,"['barang', 'berfungsi', 'baik', 'pemilik', 'toko', 'sangat', 'responsif', 'membantu', 'saat', 'sedikit', 'kendala', 'sukses', 'tokonya', 'gan']"
Computers and Laptops,Wireless Keyboard i8 Mini TouchPad Mouse 2.4G Handheld PC Android TV,Jakarta Utara,53500,4.9,5449,2369,5,"seller luar biasa.. packing baik, pengiriman cepat, penting nya barang sesuai deskripsi dan berfungsi. terima kasih..",Positive,Happy,Jakarta Utara,"seller luar biasa.. packing baik, pengiriman cepat, penting nya barang sesuai deskripsi dan berfungsi. terima kasih..",117,16,"['seller', 'luar', 'biasa', 'packing', 'baik', 'pengiriman', 'cepat', 'penting', 'barang', 'sesuai', 'deskripsi', 'berfungsi', 'terima', 'kasih']"
Computers and Laptops,Logitech M191 Mouse Wireless Full Size - Mid Grey,Jakarta Timur,119000,4.9,9777,5546,1,Sangat kecewa. Baru 4 bulan scroll sudah rusak.,Negative,Sadness,Jakarta Timur,Sangat kecewa. Baru 4 bulan scroll sudah rusak.,47,8,"['sangat', 'kecewa', 'baru', 'bulan', 'scroll', 'rusak']"
Computers and Laptops,Adaptor Charger OriginaL Laptop Asus X441 X441U X441UV X441UA X441S,Jakarta Barat,113777,4.9,1630,777,1,"jelek, yg pasti jauh dari ori. mousepad jd ga bs dipakai kl di charger, jd getar parah. barang ga sesui foto, kayak barang lapak sebelah yg harga 80rban. padahal sebelumnya pernah beli disini dan bagus,persis spt foto yg ada indikator di ujung charger. makanya order disini lg walaupun sedikit mahal ternyata barangnya tdk sama dgn order sebelumnya",Negative,Sadness,Jakarta Barat,"jelek, yg pasti jauh dari ori. mousepad jd ga bs dipakai kl di charger, jd getar parah. barang ga sesui foto, kayak barang lapak sebelah yg harga 80rban. padahal sebelumnya pernah beli disini dan bagus,persis spt foto yg ada indikator di ujung charger. makanya order disini lg walaupun sedikit mahal ternyata barangnya tdk sama dgn order sebelumnya",348,57,"['jelek', 'yg', 'pasti', 'jauh', 'ori', 'mousepad', 'jd', 'bs', 'dipakai', 'charger', 'jd', 'getar', 'parah', 'barang', 'sesui', 'foto', 'kayak', 'barang', 'lapak', 'sebelah', 'yg', 'harga', '80rban', 'padahal', 'sebelumnya', 'pernah', 'beli', 'disini', 'bagus', 'persis', 'spt', 'foto', 'yg', 'indikator', 'ujung', 'charger', 'makanya', 'order', 'disini', 'lg', 'walaupun', 'sedikit', 'mahal', 'ternyata', 'barangnya', 'sama', 'order', 'sebelumnya']"
Computers and Laptops,Kabel Power Adaptor Charger Laptop 3 Lubang,Jakarta Pusat,25000,4.9,2122,828,1,gak bisa di pakai??,Negative,Sadness,Jakarta Pusat,gak bisa di pakai??,19,4,['pakai']
Computers and Laptops,Cooler Master Notepal CMC3 Silent Fan Laptop Cooling Pad,Jakarta Barat,112000,4.9,5988,2969,1,Kecewa parah nggk berkah jualan gitu,Negative,Sadness,Jakarta Barat,Kecewa parah nggk berkah jualan gitu,36,6,"['kecewa', 'parah', 'nggk', 'berkah', 'jualan', 'gitu']"
Computers and Laptops,"CASE MACBOOK Clear Bening AIR PRO RETINA TOUCHBAR 11 12 13 15 INCH - AIR 13 A1466, LOGO HOLE",Kota Bandung,90000,4.9,5182,2423,1,kecewa penjual ga tanggung jawab komplen berhari� gada solusi,Negative,Sadness,Kota Bandung,kecewa penjual ga tanggung jawab komplen berhari� gada solusi,61,9,"['kecewa', 'penjual', 'tanggung', 'jawab', 'komplen', 'berhari', 'gada', 'solusi']"
Computers and Laptops,"CASE MACBOOK Clear Bening AIR PRO RETINA TOUCHBAR 11 12 13 15 INCH - AIR 13 A1466, LOGO HOLE",Kota Bandung,90000,4.9,5182,2423,1,"pas beli nanya dulu tipe untuk macbook pro 13inch M1 yang mana di variasi nya, kata penjualnya yang �new pro 13�. pas dateng casing kekecilan karena salah tipe ternyata. dan penjual pake banyak alesan gamau tanggung jawab padahal yang salah ya yg ngejual. kecewa gamau lagi beli disini ga tanggung jawab.",Negative,Sadness,Kota Bandung,"pas beli nanya dulu tipe untuk macbook pro 13inch M1 yang mana di variasi nya, kata penjualnya yang �new pro 13�. pas dateng casing kekecilan karena salah tipe ternyata. dan penjual pake banyak alesan gamau tanggung jawab padahal yang salah ya yg ngejual. kecewa gamau lagi beli disini ga tanggung jawab.",304,51,"['beli', 'nanya', 'dulu', 'tipe', 'macbook', 'pro', '13inch', 'm1', 'mana', 'variasi', 'kata', 'penjualnya', 'new', 'pro', '13', 'dateng', 'casing', 'kekecilan', 'salah', 'tipe', 'ternyata', 'penjual', 'pake', 'banyak', 'alesan', 'gamau', 'tanggung', 'jawab', 'padahal', 'salah', 'yg', 'ngejual', 'kecewa', 'gamau', 'lagi', 'beli', 'disini', 'tanggung', 'jawab']"
Computers and Laptops,CASE MACBOOK Case MATTE BLACK AIR PRO RETINA TOUCHBAR 11 12 13 15 INCH - NEW AIR A2337M1,Kota Bandung,99000,4.9,1848,952,1,Barang sampai terlalu lama padahal masih dalam kota. Casing mudah lepas. Jujur mengecewakan.,Negative,Sadness,Kota Bandung,Barang sampai terlalu lama padahal masih dalam kota. Casing mudah lepas. Jujur mengecewakan.,92,13,"['barang', 'terlalu', 'lama', 'padahal', 'masih', 'kota', 'casing', 'mudah', 'lepas', 'jujur', 'mengecewakan']"
Computers and Laptops,Screen Guard (Protector) Anti Gores MacBook - A2141,Jakarta Utara,50000,4.8,2967,1191,1,"kecewa belanja di tempat kamu, lain di pesan lain dikirim ??????",Negative,Sadness,Jakarta Utara,"kecewa belanja di tempat kamu, lain di pesan lain dikirim ??????",64,11,"['kecewa', 'belanja', 'tempat', 'lain', 'pesan', 'lain', 'dikirim']"
Computers and Laptops,Screen Guard (Protector) Anti Gores MacBook - A2141,Jakarta Utara,50000,4.8,2967,1191,1,"Tidak ada tissue pembersih, atau alat bantuan lainnya untuk memasang. sangat kecewa",Negative,Sadness,Jakarta Utara,"Tidak ada tissue pembersih, atau alat bantuan lainnya untuk memasang. sangat kecewa",83,12,"['tissue', 'pembersih', 'atau', 'alat', 'bantuan', 'lainnya', 'memasang', 'sangat', 'kecewa']"
Computers and Laptops,SanDisk Extreme Pro SDXC UHS-I Card 64GB 170MB/s,Jakarta Pusat,279000,5.0,3111,1456,1,"salah beli barang, tp toko tidak ada kompromi sama sekali. Padahal barang masih disegel, kecewa dehhh..",Negative,Sadness,Jakarta Pusat,"salah beli barang, tp toko tidak ada kompromi sama sekali. Padahal barang masih disegel, kecewa dehhh..",103,16,"['salah', 'beli', 'barang', 'toko', 'kompromi', 'sama', 'sekali', 'padahal', 'barang', 'masih', 'disegel', 'kecewa', 'dehhh']"
Computers and Laptops,SanDisk Extreme SDHC UHS-I Card 32GB,Jakarta Pusat,119000,5.0,2215,1010,1,Data sering error dan hilang ??,Negative,Sadness,Jakarta Pusat,Data sering error dan hilang ??,31,6,"['data', 'sering', 'error', 'hilang']"
Computers and Laptops,Logitech MK275 Wireless Keyboard Mouse Combo,Jakarta Timur,200000,4.9,3225,1528,1,"kecewa sama toko official ini ga tau kenapa pesenan pertama ga dikonfirmasi sampe di batalin sistem karena ga direspon sama sekali. pesanan kedua karena disuruh pesan lagi sama tokonya dan cuma dikonfirmasi doang ga dikirim sampe udah tinggal 10 menit sebelum dibatalin sistem lagi tapi untungnya gara chat cs tokopedia akhirnya barang bakalan dikirim didetik terakhir. ga cuma sampe situ aja payahnya barang baru diambil kurir tanggal 5 dan pickup barang sama kurir lebih dari 2 hari, proses kirim pun lemot muter padahal udah lewat depan rumah baru tanggal 9 jam 9 malem paketnya sampe??",Negative,Sadness,Jakarta Timur,"kecewa sama toko official ini ga tau kenapa pesenan pertama ga dikonfirmasi sampe di batalin sistem karena ga direspon sama sekali. pesanan kedua karena disuruh pesan lagi sama tokonya dan cuma dikonfirmasi doang ga dikirim sampe udah tinggal 10 menit sebelum dibatalin sistem lagi tapi untungnya gara chat cs tokopedia akhirnya barang bakalan dikirim didetik terakhir. ga cuma sampe situ aja payahnya barang baru diambil kurir tanggal 5 dan pickup barang sama kurir lebih dari 2 hari, proses kirim pun lemot muter padahal udah lewat depan rumah baru tanggal 9 jam 9 malem paketnya sampe??",589,95,"['kecewa', 'sama', 'toko', 'official', 'tau', 'kenapa', 'pesenan', 'pertama', 'dikonfirmasi', 'batalin', 'sistem', 'direspon', 'sama', 'sekali', 'pesanan', 'kedua', 'disuruh', 'pesan', 'lagi', 'sama', 'tokonya', 'cuma', 'dikonfirmasi', 'doang', 'dikirim', 'tinggal', '10', 'menit', 'sebelum', 'dibatalin', 'sistem', 'lagi', 'untungnya', 'gara', 'chat', 'cs', 'tokopedia', 'akhirnya', 'barang', 'bakalan', 'dikirim', 'didetik', 'terakhir', 'cuma', 'situ', 'payahnya', 'barang', 'baru', 'diambil', 'kurir', 'tanggal', 'pickup', 'barang', 'sama', 'kurir', 'hari', 'proses', 'kirim', 'pun', 'lemot', 'muter', 'padahal', 'lewat', 'depan', 'rumah', 'baru', 'tanggal', 'jam', 'malem', 'paketnya']"
Computers and Laptops,Xiaomi Xiaovv Webcam 1080P USB Camera Full HD with Mic Webcast Live,Jakarta Barat,188000,4.9,3451,1651,1,"Packing seadanya, bubble hanya selapis saja ditambah lapisan plastik, hasilnya barang diterima dalam keadaan patah.",Negative,Sadness,Jakarta Barat,"Packing seadanya, bubble hanya selapis saja ditambah lapisan plastik, hasilnya barang diterima dalam keadaan patah.",115,15,"['packing', 'seadanya', 'bubble', 'hanya', 'selapis', 'saja', 'ditambah', 'lapisan', 'plastik', 'hasilnya', 'barang', 'diterima', 'keadaan', 'patah']"
Computers and Laptops,Xiaomi Xiaovv Webcam 1080P USB Camera Full HD with Mic Webcast Live,Jakarta Barat,188000,4.9,3451,1651,1,Mic dari awal ga nyala,Negative,Sadness,Jakarta Barat,Mic dari awal ga nyala,22,5,"['mic', 'awal', 'nyala']"
Computers and Laptops,SanDisk Ultra MicroSD 32GB A1 microSDHC UHS-I micro sd - No Adapter,Jakarta Pusat,75900,4.9,6754,3507,1,"KARTU SD NYA CUMA 29,71 GB, KATANYA OFFICIAL, TAPI MALAH MKSOFFICIAL. KECEWA, INI TIDAK ORIGINAL.",Negative,Sadness,Jakarta Pusat,"KARTU SD NYA CUMA 29,71 GB, KATANYA OFFICIAL, TAPI MALAH MKSOFFICIAL. KECEWA, INI TIDAK ORIGINAL.",97,15,"['kartu', 'sd', 'cuma', '29', '71', 'gb', 'katanya', 'official', 'malah', 'mksofficial', 'kecewa', 'original']"
